OMNeT++ Discrete Event Simulation  (C) 1992-2019 Andras Varga, OpenSim Ltd.
Version: 5.6.2, build: 200518-aa79d0918f, edition: Academic Public License -- NOT FOR COMMERCIAL USE
See the license for distribution terms and warranty disclaimer

Setting up Qtenv...

Loading NED files from ..:  6
Loading NED files from ../../src:  11
Loading NED files from ../../../inet/src:  831
Loading NED files from ../../../inet/examples:  174
Loading NED files from ../../../inet/tutorials:  10
Loading NED files from ../../../inet/showcases:  46
Loading NED files from ../../../../veins/examples/veins:  1
Loading NED files from ../../../../veins/src/veins:  44

Loading images from '/home/mathesh/omnetpp-workspace/inet/images': *: 0  3d/*: 0  background/*: 1  misc/*: 218  showcases/*: 9 
Loading images from '/home/mathesh/veins/images': *: 0  veins/*: 0  veins/node/*: 45  veins/sign/*: 5 
Loading images from '/home/mathesh/omnetpp-5.6.2/images': *: 0  abstract/*: 90  background/*: 4  block/*: 320  device/*: 195  logo/*: 1  maps/*: 9  misc/*: 70  msg/*: 55  old/*: 111  status/*: 28 

1.625627493088 Vehicle 2 SENDING HELLO #15 | acked {2} | pending ACK {0,1,3}
1.630480180151 Vehicle 3 SENDING HELLO #15 | acked {3} | pending ACK {0,1,2}
1.710773638249 Vehicle 0 SENDING HELLO #16 | acked {0} | pending ACK {1,2,3}
1.716778312447 Vehicle 1 SENDING HELLO #16 | acked {1} | pending ACK {0,2,3}
1.72642234102 Vehicle 2 SENDING HELLO #16 | acked {2} | pending ACK {0,1,3}
1.731032055847 Vehicle 3 SENDING HELLO #16 | acked {3} | pending ACK {0,1,2}
1.814055286209 Vehicle 0 SENDING HELLO #17 | acked {0} | pending ACK {1,2,3}
1.817469227195 Vehicle 1 SENDING HELLO #17 | acked {1} | pending ACK {0,2,3}
1.827405252804 Vehicle 2 SENDING HELLO #17 | acked {2} | pending ACK {0,1,3}
1.832875681676 Vehicle 3 SENDING HELLO #17 | acked {3} | pending ACK {0,1,2}
1.917954733551 Vehicle 1 SENDING HELLO #18 | acked {1} | pending ACK {0,2,3}
1.918160252364 Vehicle 0 SENDING HELLO #18 | acked {0} | pending ACK {1,2,3}
1.931594977337 Vehicle 2 SENDING HELLO #18 | acked {2} | pending ACK {0,1,3}
1.933356173682 Vehicle 3 SENDING HELLO #18 | acked {3} | pending ACK {0,1,2}
2.020503508356 Vehicle 0 SENDING HELLO #19 | acked {0} | pending ACK {1,2,3}
2.022837030877 Vehicle 1 SENDING HELLO #19 | acked {1} | pending ACK {0,2,3}
2.036380401272 Vehicle 3 SENDING HELLO #19 | acked {3} | pending ACK {0,1,2}
2.036478782791 Vehicle 2 SENDING HELLO #19 | acked {2} | pending ACK {0,1,3}
2.123032969822 Vehicle 1 SENDING HELLO #20 | acked {1} | pending ACK {0,2,3}
2.124199826263 Vehicle 0 SENDING HELLO #20 | acked {0} | pending ACK {1,2,3}
2.137079765614 Vehicle 2 SENDING HELLO #20 | acked {2} | pending ACK {0,1,3}
2.137794436069 Vehicle 3 SENDING HELLO #20 | acked {3} | pending ACK {0,1,2}
2.224513670818 Vehicle 1 SENDING HELLO #21 | acked {1} | pending ACK {0,2,3}
2.224793464834 Vehicle 0 SENDING HELLO #21 | acked {0} | pending ACK {1,2,3}
2.23866968148 Vehicle 2 SENDING HELLO #21 | acked {2} | pending ACK {0,1,3}
2.239865751011 Vehicle 3 SENDING HELLO #21 | acked {3} | pending ACK {0,1,2}
2.324834408323 Vehicle 1 SENDING HELLO #22 | acked {1} | pending ACK {0,2,3}
2.328255825431 Vehicle 0 SENDING HELLO #22 | acked {0} | pending ACK {1,2,3}
2.341192698467 Vehicle 3 SENDING HELLO #22 | acked {3} | pending ACK {0,1,2}
2.341502688722 Vehicle 2 SENDING HELLO #22 | acked {2} | pending ACK {0,1,3}
2.427450648588 Vehicle 1 SENDING HELLO #23 | acked {1} | pending ACK {0,2,3}
2.428725527961 Vehicle 0 SENDING HELLO #23 | acked {0} | pending ACK {1,2,3}
2.444072430943 Vehicle 3 SENDING HELLO #23 | acked {3} | pending ACK {0,1,2}
2.446149169711 Vehicle 2 SENDING HELLO #23 | acked {2} | pending ACK {0,1,3}
2.529043493363 Vehicle 1 SENDING HELLO #24 | acked {1} | pending ACK {0,2,3}
2.532062579842 Vehicle 0 SENDING HELLO #24 | acked {0} | pending ACK {1,2,3}
2.544731420253 Vehicle 3 SENDING HELLO #24 | acked {3} | pending ACK {0,1,2}
2.5497308057 Vehicle 2 SENDING HELLO #24 | acked {2} | pending ACK {0,1,3}
2.630490523818 Vehicle 1 SENDING HELLO #25 | acked {1} | pending ACK {0,2,3}
2.632978536659 Vehicle 0 SENDING HELLO #25 | acked {0} | pending ACK {1,2,3}
2.647663984918 Vehicle 3 SENDING HELLO #25 | acked {3} | pending ACK {0,1,2}
2.649831343453 Vehicle 2 SENDING HELLO #25 | acked {2} | pending ACK {0,1,3}
2.733002014069 Vehicle 0 SENDING HELLO #26 | acked {0} | pending ACK {1,2,3}
2.73463522396 Vehicle 1 SENDING HELLO #26 | acked {1} | pending ACK {0,2,3}
2.751053067615 Vehicle 3 SENDING HELLO #26 | acked {3} | pending ACK {0,1,2}
2.751181383296 Vehicle 2 SENDING HELLO #26 | acked {2} | pending ACK {0,1,3}
2.836677984171 Vehicle 0 SENDING HELLO #27 | acked {0} | pending ACK {1,2,3}
2.839446166685 Vehicle 1 SENDING HELLO #27 | acked {1} | pending ACK {0,2,3}
2.852296833314 Vehicle 3 SENDING HELLO #27 | acked {3} | pending ACK {0,1,2}
2.854062169975 Vehicle 2 SENDING HELLO #27 | acked {2} | pending ACK {0,1,3}
2.939638193803 Vehicle 0 SENDING HELLO #28 | acked {0} | pending ACK {1,2,3}
2.942307426192 Vehicle 1 SENDING HELLO #28 | acked {1} | pending ACK {0,2,3}
2.953412241467 Vehicle 3 SENDING HELLO #28 | acked {3} | pending ACK {0,1,2}
2.958825915021 Vehicle 2 SENDING HELLO #28 | acked {2} | pending ACK {0,1,3}
3.041873820696 Vehicle 0 SENDING HELLO #29 | acked {0} | pending ACK {1,2,3}
3.046539469523 Vehicle 1 SENDING HELLO #29 | acked {1} | pending ACK {0,2,3}
3.056909637854 Vehicle 3 SENDING HELLO #29 | acked {3} | pending ACK {0,1,2}
3.060313099779 Vehicle 2 SENDING HELLO #29 | acked {2} | pending ACK {0,1,3}
3.145942809794 Vehicle 0 SENDING HELLO #30 | acked {0} | pending ACK {1,2,3}
3.148521998217 Vehicle 1 SENDING HELLO #30 | acked {1} | pending ACK {0,2,3}
3.161315153858 Vehicle 3 SENDING HELLO #30 | acked {3} | pending ACK {0,1,2}
3.163219464158 Vehicle 2 SENDING HELLO #30 | acked {2} | pending ACK {0,1,3}
